City,Name,Tripadvisor Rate,Popular Mentions,Score,Reviewers#,Excellent,Very good,Average,Poor,Terrible,Exellent_ratio,VG_ratio,Average_ratio,Poor_ratio,Terrible_ratio
Paris,Musée de l’Orangerie,7,"['water lilies', ""musee de l'orangerie"", 'small museum', ""monet's waterlilies"", 'love monet', 'two oval rooms', 'monet fan', 'claude monet', 'the lower level', 'natural light', 'tuileries gardens', 'museum pass', 'impressionist art', 'lovely museum', 'favorite museum in paris', 'on display', 'audio guide', 'modigliani', 'canvases', 'gallery', 'orangery', 'panels', 'series', 'benches', 'admission', 'beauty', 'line', 'queue', 'century']",4.5,17434,12423,3809,948,168,91,0.7125731329585867,0.21848112882872547,0.05437650567855914,0.009636342778478834,0.005219685671676035
Paris,Arc de Triomphe,11,"['unknown soldier', 'eternal flame', 'underground tunnel', 'traffic circle', 'eiffel tower', 'beautiful monument', 'spiral staircase', 'worth the climb', 'museum pass', 'visiting paris', 'roundabout', 'elysee', 'underpass', 'tomb', 'cars', 'landmark', 'structure', 'elevator', 'triumph', 'napoleon', 'queue', 'line', 'metro', 'france', 'euros', 'security']",4.5,45774,27695,14053,3499,350,182,0.6050377943810897,0.307008345348888,0.07644077423865077,0.00764626207017084,0.0039760562764888365
Paris,Basilique du Sacre-Coeur de Montmartre,9,"['beautiful church', 'highest point in paris', 'cable car', 'sacred heart', 'metro ticket', 'worth the climb', 'great view of paris', 'worth the effort', 'pick pockets', 'walk up', 'worth the trip', 'eiffel tower', 'moulin rouge', 'basilica', 'funicular', 'montmartre', 'stairs', 'nuns', 'artists', 'tourists', 'pickpockets', 'mass', 'prayer', 'hawkers', 'worship', 'architecture', 'neighborhood', 'souvenirs', 'euros', 'lift']",4.5,39201,25528,10417,2295,554,413,0.6512078773500676,0.26573301701487206,0.05854442488712023,0.014132292543557563,0.010535445524348869
Paris,Palais Garnier,5,"['opera house', 'guided tour', 'grand staircase', 'chagall ceiling', 'beautiful building', 'paris opera', 'marc chagall', 'ballet', 'auditorium', 'opulent', 'theatre', 'phantom', 'architecture', 'rehearsal', 'operas', 'tickets', 'cartier', 'stage', 'costumes', 'beauty', 'versailles', 'production', 'library', 'lafayette', 'palace', 'audio', 'masterpiece', 'century', 'statues', 'galleries']",4.5,19812,14970,3852,664,172,155,0.755602665051484,0.19442761962447003,0.033515041389057136,0.008681607106803957,0.007823541288108218
Paris,Sainte-Chapelle,3,"['stained glass', 'notre dame', 'upper chapel', 'beautiful chapel', 'sunny day', 'jewel box', 'evening concert', ""vivaldi's four seasons"", 'palais de justice', 'crown of thorns', 'museum pass', 'rose window', 'take your breath away', 'gothic architecture', 'spiral staircase', 'second floor', 'awe inspiring', 'worth the wait', 'security check', 'long line', 'skip the line', 'audio guide', 'church', 'bible', 'beauty', 'stains', 'restoration', 'panels', 'acoustics', 'scenes']",4.5,27785,20989,4888,1395,328,191,0.7554075940255534,0.17592226021234478,0.05020694619398956,0.011804930718013317,0.0068742127046967786
Paris,Luxembourg Gardens,2,"['medici fountain', 'pony rides', 'beautiful park', 'french senate', 'plenty of chairs', 'flower beds', 'sunny day', 'statue of liberty', 'bottle of wine', 'baguette', 'heart of paris', 'latin quarter', 'left bank', 'walk around', 'picnic', 'boats', 'trees', 'playground', 'stroll', 'benches', 'statues', 'sail', 'palace', 'jog', 'bloom', 'skiing', 'paths', 'pantheon', 'jardin', 'parisian']",4.5,35302,24063,9516,1511,153,61,0.6816327686816611,0.2695597983117104,0.04280210752931845,0.004334032066171888,0.0017279474250750666
Paris,Louvre Museum,15,"['mona lisa', 'winged victory', 'glass pyramid', 'plan your visit', 'audio guide', 'works of art', 'art lovers', 'take your time', 'skip the line', 'paris pass', 'buy tickets', 'long line', 'visiting paris', 'venus', 'louvre', 'milo', 'paintings', 'monalisa', 'pyramids', 'queue', 'collection', 'exhibits', 'lines', 'egyptian', 'selfie', 'arts', 'highlights', 'security', 'galleries', 'french']",4.5,102205,71321,22007,6263,1541,1088,0.6978230027885133,0.21532214666601437,0.061278802406927256,0.015077540237757448,0.010645271757741794
Paris,Musée d'Orsay,1,"['train station', 'van gogh', 'impressionist art', 'old railway', 'fifth floor', 'favorite museum in paris', 'great museum', ""musee d'orsay"", 'love this museum', 'beautiful building', 'museum pass', 'amazing collection', 'art lovers', 'on display', 'audio guide', 'degas', 'sculptures', 'gallery', 'line', 'century', 'seine', 'security', 'french', 'euros']",4.5,66854,52973,11558,1715,329,287,0.792368444670476,0.1728841954108954,0.025652915307984563,0.004921171508062345,0.004292936847458641
Paris,Cathédrale Notre-Dame de Paris,8,"['notre dame', 'beautiful cathedral', 'flying buttresses', 'gothic architecture', 'stained glass', 'mass', 'gargoyles', 'queue', 'organ', 'lines', 'beauty', 'facade', 'tourists', 'awe', 'crypt', 'french', 'euros', 'landmark', 'artwork']",4.5,71553,49211,17602,4020,505,222,0.6877559291713834,0.24599946892513241,0.05618213072827135,0.007057705477058964,0.0031025952790239403
Paris,Eiffel Tower,13,"['second level', 'every hour', 'light show', 'top level', 'glass of champagne', 'walk up', 'skip the line', 'worth the wait', 'buy tickets', 'bucket list', 'wait in line', 'long queue', 'visit paris', 'elevator', 'summit', 'lines', 'stairs', 'eiffel', 'security', 'structure', 'icon', 'trocadero', 'symbol', 'pickpockets', 'platform', 'dusk', 'euros', 'france', 'metro', 'seine']",4.5,141803,100138,29768,8690,1880,1337,0.7061768791915545,0.20992503684689323,0.061282201363863954,0.013257829524058025,0.009428573443439137
Paris,Musée des Arts Forains,18,"['carnival rides', 'guided tour', 'midway games', 'magical experience', 'french speaking', 'children and adults', 'other attractions', 'couple of hours', 'paris trip', 'fairground', 'circus', 'museum', 'fabrice', 'race', 'handout', 'exhibits', 'amusement', 'performance', 'marvel', 'metro', 'saint']",4.5,1528,1139,312,50,14,13,0.7454188481675392,0.20418848167539266,0.032722513089005235,0.009162303664921465,0.008507853403141362
Paris,Le Marais,6,"['falafel', 'great neighborhood', 'narrow streets', 'place des', 'wander around', 'walking tour', 'vosges', 'apartment', 'shop', 'bistros', 'stroll', 'pompidou', 'neighborhoods', 'arrondissement', 'victor', 'metro', 'parisian', 'clothing', 'architecture', 'picasso', 'century', 'seine', 'france', 'louvre']",4.5,12934,8599,3677,530,82,46,0.6648368640791712,0.2842894696149683,0.040977269212927166,0.0063398793876604295,0.003556517705272924
Paris,Saint Germain des Pres Quarter,40,"['left bank', 'neighborhood', 'church', 'stroll', 'arrondissement', 'artists', 'century']",4.5,6814,4422,2015,307,49,22,0.6489580275902553,0.29571470501907837,0.045054299970648665,0.007191077194012328,0.003228646903434106
Paris,Seine River,12,"['eiffel tower', 'boat ride', 'night cruise', 'different perspective', 'bateaux mouches', 'hop on hop', 'heart of paris', 'left bank', 'visiting paris', 'banks', 'boats', 'sights', 'batobus', 'stroll', 'commentary', 'angle', 'picnic']",4.5,25712,16717,7200,1488,190,119,0.6501633478531424,0.28002489110143125,0.05787181082762912,0.00738954573739888,0.0046281891723708776
Paris,Place des Vosges,39,"['art galleries', 'beautiful square', ""victor hugo's house"", 'oldest planned square in paris', 'louis xiii', 'red brick', 'marais district', 'place royale', 'henri iv', 'park', 'picnic', 'arches', 'symmetrical', 'apartment', 'maison', 'stroll', 'bastille', 'townhouse', 'parisian', 'statue', 'rue', 'beauty', 'homes', 'centuries', 'france']",4.5,5705,3490,1807,360,39,10,0.6117440841367222,0.3167397020157756,0.06310254163014899,0.006836108676599474,0.0017528483786152498
Paris,Jardin des Tuileries,50,"['ferris wheel', 'louvre museum', 'beautiful park', 'flower beds', 'nice walk', 'heart of paris', 'baguette', 'eiffel tower', 'crepes', 'trees', 'stroll', 'statues', 'picnic', 'benches', 'concorde', 'ducks', 'paths', 'champs', 'playground', 'bloom', 'obelisk', 'seine']",4.5,7641,4184,2773,578,83,24,0.5475723072896218,0.362910613794006,0.07564454914278236,0.010862452558565633,0.0031409501374165686
Paris,Pont Alexandre III,4,"['beautiful bridge', 'eiffel tower', 'pretty bridge', 'right bank', 'take pictures', 'left bank', 'champs elysees', 'statues', 'cherubs', 'pont', 'beauty', 'stroll', 'architecture', 'river', 'landmark', 'france', 'parisian']",4.5,17411,12073,4622,648,34,36,0.6934122106714147,0.26546436161047615,0.037217850783987136,0.0019527884670610533,0.0020676583768881743
Paris,Musée Rodin,10,"['camille claudel', 'sculpture garden', 'hotel biron', 'le penseur', 'famous works', 'small museum', 'lovely museum', 'on display', ""napoleon's tomb"", 'favorite museum in paris', 'sunny day', 'audio guide', 'van gogh', 'eiffel tower', 'kiss', 'burghers', 'statues', 'art', 'sculptor', 'bronze', 'mansion', 'balzac', 'prolific', 'invalides', 'master', 'admission', 'benches', 'exhibition', 'treasure', 'euros']",4.5,12654,8451,3286,718,152,49,0.6678520625889047,0.2596807333649439,0.05674095147779358,0.012012012012012012,0.0038722933459775567
